id,label_en,label_fr,obsolete
"Al Hajeb","Al Hajeb","Al Hajeb","0"
"Agadir","Agadir","Agadir","0"
"Al Hoceima","Al Hoceima","Al Hoceima","0"
"ASSA ZAG","ASSA ZAG","ASSA ZAG","0"
"AZILAL","AZILAL","AZILAL","0"	
"BENI MELLAL","BENI MELLAL","BENI MELLAL","0"	
"BENSLIMANE","BENSLIMANE","BENSLIMANE","0"	
"BOUJDOUR","BOUJDOUR","BOUJDOUR","0"	
"BOULEMANE","BOULEMANE","BOULEMANE","0"	
"BERRECHID","BERRECHID","BERRECHID","0"	
"Casablanca","Casablanca","Casablanca","0"	
"CHEFCHAOUEN","CHEFCHAOUEN","CHEFCHAOUEN","0"	
"CHTOUKA AIT BAHA","CHTOUKA AIT BAHA","CHTOUKA AIT BAHA","0"	
"CHICHAOUA","CHICHAOUA","CHICHAOUA","0"	
"EL JADIDA","EL JADIDA","EL JADIDA","0"
"EL KELAA DES SRAGHNAS","EL KELAA DES SRAGHNAS","EL KELAA DES SRAGHNAS","0"
"ERRACHIDIA","ERRACHIDIA","ERRACHIDIA","0"
"ESSAOUIRA","ESSAOUIRA","ESSAOUIRA","0"
"ES SEMARA","ES SEMARA","ES SEMARA","0"
"FES","FES","FES","0"
"FIGUIG","FIGUIG","FIGUIG","0"
"GUELMIM","GUELMIM","GUELMIM","0"
"IFRANE","IFRANE","IFRANE","0"
"KENITRA","KENITRA","KENITRA","0"
"KHEMISSET","KHEMISSET","KHEMISSET","0"
"KHENIFRA","KHENIFRA","KHENIFRA","0"
"KHOURIBGA","KHOURIBGA","KHOURIBGA","0"
"KSAR EL KEBIR","KSAR EL KEBIR","KSAR EL KEBIR","0"
"LAAYOUNE","LAAYOUNE","LAAYOUNE","0"
"LARACHE","LARACHE","LARACHE","0"
"MOHAMMEDIA","MOHAMMEDIA","MOHAMMEDIA","0"
"MARRAKECH","MARRAKECH","MARRAKECH","0"
"MEKNES","MEKNES","MEKNES","0"
"NADOR","NADOR","NADOR","0"
"OUARZAZATE","OUARZAZATE","OUARZAZATE","0"
"Oujda","Oujda","Oujda","0"
"OUED EDDAHAB","OUED EDDAHAB","OUED EDDAHAB","0"
"Rabat","Rabat","Rabat","0"	
"Sale","Sale","Sale","0"	
"SKHIRAT","SKHIRAT","SKHIRAT","0"
"TEMARA","TEMARA","TEMARA","0"
"SEFROU","SEFROU","SEFROU","0"
"SAFI","SAFI","SAFI","0"
"SETTAT","SETTAT","SETTAT","0"
"SIDI KACEM","SIDI KACEM","SIDI KACEM","0"
"Tanger","Tanger","Tanger","0"
"TAN TAN","TAN TAN","TAN TAN","0"
"TAOUNAT","TAOUNAT","TAOUNAT","0"
"TAROUDANNT","TAROUDANNT","TAROUDANNT","0"
"TATA","TATA","TATA","0"
"TAZA","TAZA","TAZA","0"
"TETOUAN","TETOUAN","TETOUAN","0"
"TIZNIT","TIZNIT","TIZNIT","0"
